RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744133094882,302,336,252,336
1744133094931,301,336,252,336
1744133094982,302,336,251,336
1744133095026,302,336,251,336
1744133095071,301,336,251,336
1744133095127,301,335,252,336
1744133095171,301,336,252,336
1744133095243,301,335,251,336
1744133095290,301,335,251,336
1744133095333,301,335,251,336
1744133095377,301,335,251,336
1744133095418,301,335,251,336
1744133095459,301,335,250,335
1744133095510,300,335,250,336
1744133095554,300,335,250,336
1744133095598,300,335,250,335
1744133095637,300,335,250,336
1744133095706,300,335,250,335
1744133095743,300,335,250,335
1744133095785,300,335,250,335
1744133095827,300,335,250,335
1744133095871,301,335,251,335
1744133095938,301,335,251,335
1744133095983,301,335,251,335
1744133096019,302,335,251,335
1744133096061,302,335,251,335
1744133096105,302,335,252,335
1744133096151,302,335,252,335
1744133096193,303,335,252,335
1744133096229,303,335,252,335
1744133096270,303,335,252,335
1744133096310,303,335,252,335
1744133096354,303,335,253,335
1744133096390,303,336,253,336
1744133096441,303,336,253,336
1744133096486,302,336,252,336
1744133096542,303,336,252,336
1744133096587,302,336,252,336
1744133096626,302,336,252,336
1744133096667,303,336,253,336
1744133096718,303,336,253,336
1744133096755,303,336,253,335
1744133096792,303,336,253,335
1744133096826,303,336,253,335
1744133096871,304,336,253,335
1744133096912,303,336,253,336
1744133096951,303,336,253,336
1744133097008,303,336,253,336
1744133097047,302,336,252,336
1744133097099,302,336,252,336
1744133097141,303,336,253,336
1744133097178,303,336,252,336
1744133097233,303,336,252,336
1744133097290,303,336,253,336
1744133097333,303,336,253,336
1744133097377,303,336,253,336
1744133097496,303,336,253,336
1744133097583,303,336,253,336
1744133097635,303,336,253,336
1744133097682,302,336,253,337
1744133097728,302,336,253,337
1744133097770,303,336,253,336
1744133097811,303,336,253,336
1744133097859,303,336,253,336
1744133097906,303,336,253,336
1744133097952,303,335,253,335
1744133097985,303,335,253,335
1744133098020,303,335,253,335
1744133098074,304,335,253,335
1744133098129,304,335,253,335
1744133098187,303,335,253,335
1744133098224,303,335,253,335
1744133098288,303,335,253,335
1744133098334,303,335,253,335
1744133098387,303,335,253,335
1744133098436,303,335,253,335
1744133098497,303,335,253,335
1744133098532,303,336,253,336
1744133098590,303,336,253,336
1744133098654,303,336,253,336
1744133098712,303,336,254,336
1744133098755,304,335,253,335
1744133098813,304,335,253,335
1744133098866,304,335,253,335
1744133098903,304,335,253,336
1744133098965,304,336,253,336
1744133099004,304,336,254,336
1744133099071,305,336,254,335
1744133099134,305,336,254,335
1744133099173,305,336,254,335
1744133099204,305,336,254,336
1744133099256,305,335,254,335
1744133099298,304,335,254,335
1744133099347,305,336,254,335
1744133099407,305,335,254,335
1744133099444,305,335,254,335
1744133099487,305,336,254,336
1744133099538,305,336,254,335
1744133099577,305,336,254,335
1744133099632,304,335,254,335
1744133099669,304,336,254,336
1744133099716,304,336,254,335
1744133099770,305,336,254,335
1744133099831,305,336,254,335
1744133099875,305,336,254,335
1744133099922,304,335,254,335
1744133099980,304,336,254,336
1744133100028,304,336,254,336
1744133100070,305,335,254,335
1744133100115,305,335,254,335
1744133100167,305,335,254,335
1744133100211,305,336,255,335
1744133100271,306,336,255,335
1744133100312,306,336,255,335
1744133100363,306,336,255,335
1744133100401,306,336,255,335
1744133100435,306,336,255,335
1744133100486,306,336,255,335
1744133100539,306,336,255,335
1744133100675,306,336,255,335
1744133100776,306,336,255,335
1744133100836,306,335,255,335
1744133100933,305,335,254,335
1744133100995,305,336,254,335
1744133101054,305,336,254,335
1744133101123,305,336,254,335
1744133101210,304,336,253,335
1744133101287,304,336,253,335
1744133101333,303,337,253,336
1744133101386,303,337,253,336
1744133101427,303,337,253,336
1744133101486,303,337,253,336
1744133101546,303,336,253,335
1744133101597,303,336,253,335
1744133101641,303,336,253,335
1744133101687,303,336,253,335
1744133101731,304,336,253,335
1744133101779,304,336,253,335
1744133101837,304,336,253,335
1744133101879,304,336,253,335
1744133101940,304,336,253,335
1744133102005,304,336,253,335
1744133102057,304,336,253,336
1744133102105,304,336,253,336
1744133102147,303,336,253,335
1744133102194,304,336,253,335
1744133102263,304,336,253,335
1744133102308,304,336,253,335
1744133102352,304,336,253,336
1744133102393,304,336,253,335
1744133102451,304,336,254,335
1744133102508,304,336,253,336
1744133102559,303,336,253,335
1744133102612,303,336,253,335
1744133102662,304,336,253,336
1744133102703,304,336,253,336
1744133102739,304,336,253,336
1744133102795,304,336,253,335
1744133102836,304,336,253,335
1744133102904,304,336,253,336
1744133102953,304,336,253,336
1744133102995,304,336,253,336
1744133103047,303,336,253,336
1744133103088,304,336,253,336
1744133103140,304,336,253,336
1744133103188,304,337,253,336
1744133103234,303,337,253,336
1744133103277,303,337,253,336
1744133103314,303,337,253,336
1744133103373,303,337,253,336
1744133103412,303,337,253,336
1744133103463,303,336,253,336
1744133103515,303,337,253,336
1744133103556,303,337,253,336
1744133103607,303,337,253,336
1744133103658,303,337,252,336
1744133103702,303,336,253,336
1744133103750,303,337,252,336
1744133103852,303,337,252,336
1744133103920,303,337,252,336
1744133103974,303,337,252,336
1744133104019,303,337,252,336
1744133104072,303,337,252,336
1744133104119,302,337,252,336
1744133104163,302,337,252,336
1744133104211,302,337,252,336
1744133104270,302,337,252,336
1744133104326,302,337,252,336
1744133104387,302,337,252,336
1744133104441,302,337,252,336
1744133104492,302,337,252,336
1744133104532,302,337,252,336
1744133104587,302,337,252,336
1744133104630,302,337,252,336
1744133104669,303,337,252,336
1744133104721,303,337,253,337
1744133104770,303,337,253,336
1744133104819,303,337,253,336
1744133104878,303,337,253,336
1744133104916,303,337,253,336
1744133104963,303,337,253,336
1744133105018,303,337,253,336
1744133105064,303,337,253,336
1744133105109,303,337,253,336
1744133105146,303,337,253,336
1744133105193,303,337,252,336
1744133105259,303,337,253,336
1744133105311,303,337,253,336
1744133105353,303,337,252,336
1744133105394,303,337,253,336
1744133105456,304,337,252,336
