RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745287476.7022145,362,194,267,195
1745287476.8498428,358,179,267,180
1745287477.007218,354,169,263,171
1745287477.176011,348,170,257,172
1745287477.3250933,341,166,252,172
1745287477.4892516,340,159,251,163
1745287477.6470664,336,169,248,173
1745287477.8196242,335,164,247,164
1745287477.9877865,330,165,241,169
1745287479.8241804,346,166,259,168
1745287479.997276,344,170,258,174
1745287480.138433,345,147,253,150
1745287480.2937486,345,127,245,129
1745287480.4372551,346,121,239,122
1745287480.6031206,343,123,228,125
1745287480.7473814,351,119,224,119
1745287480.8993855,354,131,223,132
1745287487.9052315,421,161,323,146
1745287488.0595968,410,155,306,145
1745287488.201466,398,150,293,145
1745287488.3416963,380,157,281,151
1745287488.624637,337,159,240,166
1745287488.767406,336,162,241,168
1745287488.9389024,336,167,248,173
1745287489.093919,336,166,252,170
1745287489.2347324,338,166,255,169
1745287489.3770623,342,167,258,170
1745287489.5333633,344,169,258,172
1745287489.6738803,345,171,259,173
1745287489.829126,345,171,259,174
1745287489.9714715,344,169,259,173
1745287490.111615,342,171,256,174
1745287490.2731957,338,169,253,173
1745287490.4266555,338,171,254,175
1745287490.5681849,340,171,254,174
1745287490.709004,339,172,255,176
1745287490.8615808,342,173,258,177
1745287491.0098321,343,175,257,178
1745287491.161148,347,180,263,182
1745287491.3034685,351,183,266,184
1745287491.4714565,353,186,270,187
1745287492.3396156,351,189,267,190
1745287492.4747503,350,188,264,189
1745287492.6161554,349,190,264,191
1745287492.7596664,350,190,264,191
1745287493.33788,349,193,264,195
1745287497.9740841,363,192,278,193
1745287498.1457007,363,192,278,193
1745287498.2981253,362,191,277,193
1745287498.8899834,354,186,268,189
1745287499.05984,352,186,267,189
1745287499.1981444,352,186,268,189
1745287499.3396933,352,186,268,189
1745287499.4881647,352,186,267,189
1745287499.635056,350,185,265,189
1745287499.7789829,348,186,264,191
1745287499.934168,349,185,264,190
1745287500.244531,352,190,268,195
1745287500.4006963,351,190,267,195
1745287502.819193,370,185,287,186
1745287502.959239,384,192,309,193
1745287504.8218012,374,148,284,149
1745287504.963312,361,139,262,142
1745287505.1084251,357,138,255,143
1745287505.270218,369,141,266,147
1745287505.4225166,404,147,305,153
1745287505.561122,422,147,321,153
1745287505.702262,435,146,334,151
1745287505.8476222,442,146,338,148
1745287505.9988513,444,142,335,143
1745287506.1398218,444,144,336,147
1745287506.2823868,445,151,342,155
1745287506.4219844,445,148,342,151
1745287506.5617244,450,147,346,151
1745287507.01245,432,143,338,147
1745287507.2942717,412,134,298,127
1745287507.5741694,438,137,323,131
1745287507.7139378,458,143,348,141
1745287507.8688455,470,147,362,144
1745287508.0082357,483,147,376,147
1745287508.1485243,485,148,380,149
1745287508.287831,485,153,380,154
1745287514.5481985,330,151,228,149
1745287514.6933203,297,146,182,146
1745287515.1392992,244,229,200,232
1745287515.418302,275,144,154,157
1745287515.5636415,273,144,151,158
1745287515.702841,269,143,147,160
1745287516.2781062,262,143,141,160
1745287516.5569663,285,146,169,160
1745287516.7010853,290,150,174,164
1745287516.8525043,291,144,173,158
1745287517.0126953,290,145,172,160
1745287527.561919,362,152,265,161
1745287527.705553,368,154,271,161
1745287527.8428621,365,155,269,160
1745287527.9975674,362,156,267,162
1745287528.133892,363,156,267,162
1745287528.2780933,360,156,266,162
1745287528.4166365,348,154,256,162
1745287528.5565305,341,152,249,161
1745287528.7018435,340,148,249,156
1745287529.013344,329,135,231,144
1745287529.2838748,342,125,239,134
1745287529.4299543,349,129,246,136
1745287529.5673826,352,123,248,132
1745287531.8454971,323,167,219,174
1745287532.008899,324,167,222,176
1745287532.158911,326,169,225,176
1745287532.29864,327,171,227,177
1745287532.6154103,336,171,233,177
1745287532.751651,336,173,234,177
