RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744147923.76812,452,319,353,313
1744147923.8052053,451,317,352,310
1744147923.8436244,451,317,352,310
1744147923.8816953,452,316,352,309
1744147923.918065,452,316,352,309
1744147923.950413,452,317,352,310
1744147923.979345,452,317,352,310
1744147924.011536,452,316,352,309
1744147924.0471594,452,316,352,309
1744147924.0801857,452,316,352,309
1744147924.1063619,452,316,352,309
1744147924.1441386,452,316,352,310
1744147924.1744702,452,316,352,310
1744147924.205556,451,316,352,308
1744147924.2427206,451,316,352,308
1744147924.2770002,450,316,350,309
1744147924.3070824,450,316,350,309
1744147924.3418357,449,316,350,308
1744147924.3743331,449,316,350,308
1744147924.4111776,449,314,350,307
1744147924.439516,449,314,350,307
1744147924.4730043,449,314,349,306
1744147924.5075464,449,314,349,306
1744147924.5382783,449,313,349,306
1744147924.567613,449,313,349,306
1744147924.6000838,448,313,349,306
1744147924.6356914,448,313,349,306
1744147924.6736963,448,312,348,305
1744147924.6969075,448,312,348,305
1744147924.7401724,448,311,348,304
1744147924.7725773,448,311,348,304
1744147924.8065891,447,311,349,304
1744147924.836757,447,311,349,304
1744147924.8727553,447,312,349,305
1744147924.9128852,447,312,349,305
1744147924.954817,447,311,349,304
1744147924.9875066,447,311,349,304
1744147925.018818,447,311,348,304
1744147925.0497084,447,311,348,304
1744147925.0814152,447,311,349,304
1744147925.113619,447,311,349,304
1744147925.1440072,447,310,349,303
1744147925.1719031,447,310,349,303
1744147925.2082422,447,310,348,304
1744147925.2345414,447,310,348,304
1744147925.2624948,447,310,348,304
1744147925.30228,447,310,348,304
1744147925.3335378,447,310,349,302
1744147925.3658967,447,310,349,302
1744147925.3926516,446,310,348,303
1744147925.4308686,446,310,348,303
1744147925.4914072,447,310,348,303
1744147925.5295334,447,310,348,303
1744147925.554578,446,309,348,302
1744147925.5906317,446,309,348,302
1744147925.6237485,446,309,348,302
1744147925.6558142,446,309,348,302
1744147925.6874175,446,309,348,302
1744147925.7255266,446,309,348,302
1744147925.7583976,446,309,347,302
1744147925.7897165,446,309,347,302
1744147925.8217273,445,308,347,301
1744147925.8622108,445,308,347,301
1744147925.8939912,445,308,347,302
1744147925.925746,445,308,347,302
1744147925.9576974,445,307,347,301
1744147925.9891205,445,307,347,301
1744147926.020458,444,307,347,301
1744147926.050331,444,307,347,301
1744147926.0859368,444,307,347,300
1744147926.1164696,444,307,347,300
1744147926.1453586,444,307,346,300
1744147926.1797965,444,307,346,300
1744147926.211762,444,307,346,300
1744147926.2400055,444,307,346,300
1744147926.276153,444,307,346,300
1744147926.3060853,444,307,346,300
1744147926.3426707,444,307,346,300
1744147926.3695695,444,307,346,300
1744147926.399996,443,306,346,300
1744147926.4294357,443,306,346,300
1744147926.4649456,443,306,345,299
1744147926.4965029,443,306,345,299
1744147926.529286,443,306,346,300
1744147926.5584047,443,306,346,300
1744147926.5922172,443,306,345,299
1744147926.6273832,443,306,345,299
1744147926.658318,443,305,345,299
1744147926.6907873,443,305,345,299
1744147926.7238362,443,305,345,299
1744147926.7514048,443,305,345,299
1744147926.7855632,443,305,344,299
1744147926.8160503,443,305,344,299
1744147926.849845,443,305,344,299
1744147926.8886251,443,305,344,299
1744147926.9126184,443,305,344,298
1744147926.9472232,443,305,344,298
1744147926.992536,442,305,344,298
1744147927.025633,442,305,344,298
1744147927.0662801,442,305,344,298
1744147927.125807,442,305,344,298
1744147927.1855574,442,305,344,298
1744147927.236765,442,305,344,298
1744147927.2962186,442,304,345,298
1744147927.343223,442,304,344,297
1744147927.4098196,442,304,344,297
1744147927.463313,442,304,345,298
1744147927.5585117,442,303,345,297
1744147927.6175697,442,303,345,297
1744147927.6796365,441,303,344,297
1744147927.7433355,441,303,344,296
1744147927.8191257,441,303,344,296
1744147927.8811862,440,302,344,296
1744147927.9479685,440,302,342,296
1744147927.9795616,440,302,342,296
1744147928.0611453,440,302,343,296
1744147928.112586,440,302,343,296
1744147928.1565065,440,301,342,295
1744147928.2321773,439,301,342,295
1744147928.2633333,439,301,342,295
1744147928.3384302,439,301,342,295
1744147928.4047618,439,301,342,295
1744147928.46752,439,300,342,295
1744147928.5121272,439,300,342,294
1744147928.580299,439,300,342,294
1744147928.652942,439,300,342,294
1744147928.6953175,439,300,342,294
1744147928.762115,439,300,342,294
1744147928.8218904,439,300,343,294
1744147928.8795006,438,300,342,294
1744147928.933727,438,300,342,294
1744147928.9713242,438,300,342,294
1744147929.02413,438,300,342,294
1744147929.0839667,439,299,342,293
1744147929.1618805,438,299,341,294
1744147929.2267218,438,299,341,294
1744147929.2918234,436,300,339,294
1744147929.3442123,435,299,338,294
1744147929.4068308,435,299,338,294
1744147929.4584663,433,300,337,294
1744147929.510275,433,300,337,294
1744147929.58117,430,300,335,294
1744147929.6347094,430,300,335,294
1744147929.6930227,430,300,335,294
1744147929.734849,431,301,336,296
1744147929.8156393,432,300,336,296
1744147929.8442512,432,300,336,296
1744147929.8947628,433,301,338,297
1744147929.923008,433,301,338,297
1744147929.9572995,435,300,339,296
1744147929.999918,435,300,339,296
1744147930.0254154,436,300,341,296
1744147930.0690174,436,300,341,296
1744147930.1006377,436,299,340,296
1744147930.1361818,436,299,340,296
1744147930.1731114,437,299,341,295
1744147930.2086828,437,299,341,295
1744147930.2425184,438,298,341,295
1744147930.2754545,438,298,341,295
1744147930.3100271,437,298,342,295
1744147930.3366914,437,298,342,295
1744147930.379553,438,298,341,295
1744147930.41328,438,298,341,295
1744147930.4486735,437,298,341,295
1744147930.4896517,437,298,341,295
1744147930.5265212,436,297,339,294
1744147930.5874524,435,297,338,294
1744147930.6238065,435,297,338,294
1744147930.6642067,433,298,338,294
1744147930.7015643,433,298,338,294
1744147930.754453,433,297,337,294
1744147930.798937,433,297,337,294
1744147930.8360527,433,297,338,293
1744147930.8802052,433,297,338,293
1744147930.9195979,433,296,337,293
1744147930.9598656,433,296,337,293
1744147930.986805,432,296,336,293
1744147931.050193,432,296,337,292
1744147931.0845377,432,296,337,292
1744147931.1151881,432,295,337,292
1744147931.1545563,432,295,337,292
1744147931.191905,432,295,337,292
1744147931.2244444,432,295,337,292
1744147931.257026,431,295,337,291
1744147931.29328,431,295,337,291
1744147931.322847,432,293,337,290
1744147931.3569815,432,293,337,290
1744147931.3887775,434,291,339,288
1744147931.416776,434,291,339,288
1744147931.4744656,436,289,342,285
1744147931.5155354,436,289,342,285
1744147931.550333,438,285,345,281
1744147931.591919,438,285,345,281
1744147931.616839,441,280,348,275
1744147931.6643534,441,280,348,275
1744147931.7017436,445,274,354,269
1744147931.7332902,445,274,354,269
1744147931.7602053,452,268,360,262
1744147931.796513,452,268,360,262
1744147931.8244457,457,261,367,255
1744147931.8603718,457,261,367,255
1744147931.8940084,460,255,372,248
1744147931.9244714,460,255,372,248
1744147931.962137,461,250,373,241
1744147932.0031462,461,250,373,241
1744147932.0393605,457,248,369,239
1744147932.0704336,457,248,369,239
1744147932.1057603,454,244,367,236
1744147932.1372042,454,244,367,236
1744147932.1645103,452,238,366,232
1744147932.1991627,452,238,366,232
1744147932.226889,453,231,367,227
1744147932.2682195,453,231,367,227
1744147932.3007133,451,228,366,225
1744147932.331149,451,228,366,225
1744147932.369335,449,226,364,224
1744147932.400393,449,226,364,224
1744147932.4286132,449,222,364,220
1744147932.4911237,449,222,364,220
1744147932.5320108,444,222,360,220
1744147932.609508,441,222,357,220
1744147932.6408832,441,222,357,220
1744147932.674033,438,223,354,222
1744147932.7043848,438,223,354,222
1744147932.7409756,435,223,350,221
1744147932.770264,435,223,350,221
1744147932.8159978,431,222,346,221
1744147932.8612278,431,222,346,221
1744147932.9255648,425,227,339,224
1744147932.990412,425,227,339,224
1744147933.0375793,407,234,323,230
1744147933.0813491,401,238,318,234
1744147933.111011,401,238,318,234
1744147933.16224,399,235,318,231
1744147933.1975412,399,235,318,231
1744147933.2317736,400,232,317,228
1744147933.2700167,400,232,317,228
1744147933.3111231,394,240,315,235
1744147933.3518972,394,240,315,235
1744147933.3891594,392,238,311,231
1744147933.4499614,392,239,309,232
1744147933.489314,392,239,309,232
1744147933.530779,390,249,307,241
1744147933.5686262,390,249,307,241
1744147933.596749,390,253,306,244
1744147933.6298473,390,253,306,244
1744147933.6812773,393,257,307,247
1744147933.7274463,393,257,307,247
1744147933.7522337,394,261,304,251
1744147933.7979672,394,261,304,251
1744147933.83838,392,270,300,259
1744147933.8937304,392,270,300,259
1744147933.943861,387,286,292,276
1744147934.0054517,383,290,289,280
1744147934.0690107,383,290,289,280
1744147934.109507,375,295,287,285
1744147934.1652946,375,295,287,285
1744147934.1941955,373,311,279,301
1744147934.247543,371,311,277,302
1744147934.2868273,371,311,277,302
1744147934.329805,365,313,273,301
1744147934.3636112,365,313,273,301
1744147934.3983493,364,320,272,309
1744147934.4325423,364,320,272,309
1744147934.4729419,363,320,272,309
1744147934.5092573,363,320,272,309
1744147934.5464728,363,319,271,309
1744147934.5816453,363,319,271,309
1744147934.615491,362,319,272,309
1744147934.6519167,362,319,272,309
1744147934.6977353,362,319,271,309
1744147934.7250624,362,319,271,309
1744147934.7660124,361,320,271,309
1744147934.7937791,361,320,271,309
1744147934.832778,357,319,268,309
1744147934.8860545,357,319,268,309
1744147934.948171,348,318,260,309
1744147934.9969838,344,319,256,311
1744147935.0477335,344,319,256,311
1744147935.0973692,343,320,253,313
1744147935.156832,343,320,253,313
1744147935.2188601,340,324,250,317
1744147935.2780373,341,326,251,318
1744147935.3370366,341,326,251,318
1744147935.3968976,343,328,252,320
1744147935.4631944,343,328,252,320
1744147935.5378308,348,329,257,320
1744147935.5959747,350,330,258,320
1744147935.6584976,350,330,258,320
1744147935.7116418,352,331,262,321
1744147935.768421,353,330,262,321
1744147935.836299,353,330,262,321
1744147935.8928938,353,331,262,322
1744147935.9528832,352,331,261,322
1744147936.0188925,352,331,261,322
1744147936.091418,347,332,258,322
1744147936.1263354,347,333,258,323
1744147936.2025554,347,333,258,323
1744147936.2592611,346,334,257,324
1744147936.3056018,346,334,257,324
1744147936.3643394,347,334,258,324
1744147936.4383786,347,334,258,324
1744147936.4798503,347,334,258,324
1744147936.5418656,346,336,259,326
1744147936.602765,346,336,259,326
1744147936.660202,347,335,259,326
1744147936.7244039,348,336,259,326
1744147936.7978919,348,336,259,326
1744147936.853568,347,336,259,326
1744147936.8960257,347,336,259,326
1744147936.9335372,347,336,259,326
1744147936.9645572,347,336,259,327
1744147936.9923587,347,336,259,327
1744147937.0395405,347,336,259,326
1744147937.077439,347,336,259,326
1744147937.10845,347,336,260,326
1744147937.1474233,347,336,260,326
1744147937.180497,348,336,260,326
1744147937.2086115,348,336,260,326
1744147937.2599387,348,335,260,325
1744147937.2934725,348,335,260,325
1744147937.3314254,350,336,261,326
1744147937.3829951,350,336,261,326
1744147937.4093423,350,336,261,326
1744147937.455403,350,337,261,326
1744147937.4891794,350,337,261,326
1744147937.5252335,350,338,261,327
1744147937.5600753,350,338,261,327
1744147937.59575,350,338,262,327
1744147937.6222517,350,338,262,327
1744147937.6641207,352,339,262,328
1744147937.705086,352,339,262,328
1744147937.7396946,361,339,262,331
1744147937.765833,361,339,262,331
1744147937.8094094,361,341,263,331
1744147937.8433197,361,341,263,331
1744147937.8779814,361,341,263,332
1744147937.9134147,361,341,263,332
1744147937.9506128,363,342,263,333
1744147937.9787047,363,342,263,333
1744147938.0151167,361,343,263,333
1744147938.0596786,361,343,263,333
1744147938.0979269,361,343,262,333
1744147938.1348433,361,343,262,333
1744147938.1679852,360,343,262,334
1744147938.2035165,360,343,262,334
1744147938.2295058,361,344,263,335
1744147938.273473,361,344,263,335
1744147938.307713,362,344,262,334
1744147938.3441634,362,344,262,334
1744147938.3691518,360,344,262,335
1744147938.410763,360,344,262,335
1744147938.4442818,360,344,263,334
1744147938.4847436,360,344,263,334
1744147938.522661,361,344,262,334
1744147938.5745335,362,344,263,336
1744147938.6202197,362,344,263,336
1744147938.6555786,361,345,263,335
1744147938.6920695,361,345,263,335
1744147938.7260084,361,345,263,336
1744147938.7597814,361,345,263,336
1744147938.7955556,362,345,263,335
1744147938.8298833,362,345,263,335
1744147938.878611,362,344,263,334
1744147938.9251626,362,344,263,334
1744147938.967381,360,343,263,333
1744147939.0121458,360,343,263,333
1744147939.0533948,361,344,263,334
1744147939.136544,360,344,263,334
1744147939.1693225,360,344,263,334
1744147939.1964216,363,344,264,335
1744147939.229125,363,344,264,335
1744147939.2718012,363,344,265,335
1744147939.3047218,363,344,265,335
1744147939.3320184,364,346,265,336
1744147939.3720508,364,346,265,336
1744147939.4060621,363,346,265,336
1744147939.4326234,363,346,265,336
1744147939.4784625,362,346,265,336
1744147939.5106332,362,346,265,336
1744147939.5442774,363,346,265,336
1744147939.5744543,363,346,265,336
1744147939.6164882,363,345,265,336
1744147939.6516623,363,345,265,336
1744147939.6936486,360,346,266,337
1744147939.727017,360,346,266,337
1744147939.759404,362,347,265,337
1744147939.7940881,362,347,265,337
1744147939.8275177,362,346,264,336
1744147939.864523,362,346,264,336
1744147939.8926542,359,346,265,337
1744147939.9260967,359,346,265,337
1744147939.9700167,359,346,265,337
1744147940.0097654,359,346,265,337
1744147940.0439107,361,346,264,337
1744147940.0810344,361,346,264,337
1744147940.114862,361,346,264,336
1744147940.1499925,361,346,264,336
1744147940.1858113,360,346,265,336
1744147940.254018,361,346,264,336
1744147940.2901049,361,346,264,336
1744147940.3260975,362,344,264,336
1744147940.356916,362,344,264,336
1744147940.3926132,362,344,263,336
1744147940.4282565,362,344,263,336
1744147940.4810529,361,345,264,336
1744147940.5163093,361,345,264,336
1744147940.5514927,362,345,264,336
1744147940.5878625,362,345,264,336
1744147940.6236422,362,345,264,336
1744147940.6586611,362,345,264,336
1744147940.6936038,362,344,265,336
1744147940.7190378,362,344,265,336
1744147940.7594135,362,345,264,335
1744147940.7878108,362,345,264,335
1744147940.836594,364,345,265,335
1744147940.8736842,364,345,265,335
1744147940.9104087,363,345,265,336
1744147940.9446228,363,345,265,336
1744147940.9780025,364,345,265,335
1744147941.0390637,363,345,266,335
1744147941.0965405,363,345,266,335
1744147941.1426282,363,346,265,336
1744147941.2057407,363,346,265,336
1744147941.273838,363,346,265,336
1744147941.3249526,363,346,265,336
1744147941.3964581,362,346,265,337
1744147941.4652786,359,347,264,336
1744147941.5242968,359,347,264,336
1744147941.595205,361,345,264,336
1744147941.6571057,362,345,264,336
1744147941.7088034,362,345,264,336
1744147941.7689958,362,345,265,336
1744147941.8425767,364,346,265,336
1744147941.8906572,364,346,265,336
1744147941.958905,364,347,267,336
1744147941.984688,367,346,268,337
1744147942.058902,367,346,268,337
1744147942.1233792,368,345,270,336
1744147942.198465,368,345,270,336
1744147942.259547,369,345,271,334
1744147942.32458,368,343,271,332
1744147942.3811474,368,343,271,332
1744147942.4474165,366,342,269,334
1744147942.5243397,365,340,268,331
1744147942.5877135,365,340,268,331
1744147942.6497178,364,342,267,334
1744147942.690798,362,340,264,331
1744147942.7503529,362,340,264,331
1744147942.7930844,360,339,263,331
1744147942.8725474,360,339,263,331
1744147942.9232745,354,343,260,335
1744147942.980818,353,343,259,334
1744147943.0372434,353,343,259,334
1744147943.0908265,351,342,257,334
1744147943.153711,350,343,257,333
1744147943.221275,350,343,257,333
1744147943.2826724,350,343,258,333
1744147943.3403838,350,343,258,333
1744147943.3981543,348,338,256,327
1744147943.46584,347,339,254,328
1744147943.5224812,347,339,254,328
1744147943.5936182,343,337,252,327
1744147943.640123,335,337,251,326
1744147943.7027328,335,337,251,326
1744147943.7558198,339,341,248,331
1744147943.820341,338,342,247,333
1744147943.8832288,338,342,247,333
1744147943.938434,337,344,247,333
1744147943.9883282,337,344,247,333
1744147944.0384154,339,345,247,336
1744147944.1079078,339,349,248,339
1744147944.1724813,339,349,248,339
1744147944.2421114,341,346,248,336
1744147944.296505,341,347,248,337
1744147944.3402028,341,347,248,337
1744147944.401966,337,351,249,339
1744147944.4608629,337,351,249,339
1744147944.5077055,337,349,250,338
1744147944.5781496,337,351,249,339
1744147944.623183,337,351,249,339
