RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745305192.9374247,447,285,367,287
1745305193.0904791,447,285,366,287
1745305193.230085,446,285,366,287
1745305193.3557224,447,285,367,287
1745305193.5010335,449,285,366,287
1745305193.6425128,450,284,366,287
1745305193.7899048,450,286,367,288
1745305193.9253051,451,285,367,288
1745305194.0647051,452,285,368,288
1745305194.2215219,452,285,368,287
1745305194.378883,451,286,368,288
1745305194.537759,451,285,369,287
1745305194.6952224,451,285,368,288
1745305194.84231,451,285,368,288
1745305194.991883,451,286,367,288
1745305195.1414626,448,284,364,287
1745305195.3013263,449,282,364,285
1745305195.4677691,449,282,364,286
1745305195.585168,446,281,359,285
1745305195.7233067,445,279,359,284
1745305195.850373,447,277,362,282
1745305195.9903219,451,285,366,289
1745305196.1211402,460,282,366,288
1745305196.681746,463,285,370,291
1745305196.8200948,458,283,369,291
1745305196.9627247,460,285,370,293
1745305197.1175814,461,287,371,294
1745305197.2452726,459,287,374,294
1745305197.3690422,460,287,374,293
1745305197.5206418,460,286,375,293
1745305197.663441,460,287,374,293
1745305197.7901287,462,291,374,296
1745305197.9266572,461,294,372,299
1745305198.0655487,460,304,369,308
1745305198.1890252,463,312,367,316
1745305198.32948,463,313,367,315
1745305198.4678047,466,309,370,312
1745305198.6276858,464,308,374,309
1745305198.7518575,467,306,375,309
1745305198.909934,469,308,377,310
1745305199.033299,469,308,378,310
1745305199.188234,469,308,377,309
1745305199.3275652,468,308,377,309
1745305199.4520407,468,308,376,309
1745305199.6096199,468,307,377,309
1745305199.7668283,469,308,377,309
1745305199.9235613,469,308,378,309
1745305200.0715945,470,307,378,309
1745305200.2218962,470,307,379,309
1745305200.3485813,472,306,380,307
1745305200.5035875,472,306,380,307
1745305200.6647935,472,306,380,307
1745305200.8176916,471,305,380,307
1745305200.9551258,472,304,381,306
1745305201.0836296,472,302,381,303
1745305201.2249472,471,279,382,281
1745305201.343321,471,276,382,278
1745305201.4912293,472,270,383,273
1745305201.6238554,471,275,382,278
1745305201.7619681,470,283,381,285
1745305201.8888936,469,286,380,289
1745305202.0450394,472,290,380,292
1745305202.1885056,472,291,381,294
1745305202.3248725,473,292,380,295
1745305202.4656394,473,291,380,294
1745305202.5983763,474,291,381,293
1745305202.7459807,474,296,382,297
1745305202.9038813,473,290,381,292
1745305203.0736213,474,291,382,293
1745305203.2145143,475,293,383,295
1745305203.3585289,475,292,383,294
1745305203.4844463,475,293,384,294
1745305203.6259072,476,293,384,295
1745305203.7544365,477,292,385,294
1745305203.890669,476,293,384,295
1745305204.0448587,477,293,384,295
1745305204.200352,476,293,382,295
1745305204.3545241,474,293,382,295
1745305204.4938369,474,293,382,295
1745305204.6558344,474,293,381,296
1745305204.7778478,474,293,381,296
1745305204.9046605,474,293,381,295
1745305205.0590382,473,292,382,295
1745305205.2119808,473,293,382,295
1745305205.3661857,475,292,381,295
1745305205.5217235,473,293,382,295
1745305205.666369,473,292,381,295
1745305205.7928362,471,293,381,295
1745305205.94263,473,293,380,295
1745305206.1084013,471,293,380,296
1745305206.2548847,472,294,381,296
1745305206.3870823,473,293,380,296
1745305206.5235107,473,294,381,296
1745305206.649006,472,294,381,296
1745305206.7878168,473,293,380,296
1745305206.9276147,472,293,380,296
1745305207.0514576,472,293,380,295
1745305207.1958878,470,295,381,296
1745305207.3593352,472,293,381,295
1745305207.513317,473,293,381,295
1745305207.6712945,472,294,380,296
1745305207.7952642,471,296,380,298
1745305207.9472888,470,296,380,298
1745305208.1032057,471,295,380,297
1745305208.2307448,470,296,380,298
1745305208.3880343,471,296,380,299
1745305208.5265021,472,295,380,297
1745305208.6514711,473,294,380,296
1745305208.7881274,472,293,380,295
1745305208.9313366,471,294,380,296
1745305209.0561883,472,294,380,296
1745305209.2139137,471,294,380,296
1745305209.3710134,471,294,380,296
1745305209.5266986,471,294,379,297
1745305209.6618817,470,295,380,297
1745305209.838495,470,296,380,298
1745305209.9638667,470,296,380,298
1745305210.097756,471,296,380,298
1745305210.230375,470,296,380,298
1745305210.3798273,473,296,380,298
1745305210.5308514,471,296,381,298
1745305210.688516,471,296,381,299
1745305210.83478,472,296,381,298
1745305210.9904268,472,297,381,299
1745305211.1094584,471,296,381,299
1745305211.2770035,471,296,381,299
1745305211.4205358,471,295,381,298
1745305211.5497582,471,296,381,298
1745305211.7025013,471,296,381,298
1745305211.8240395,471,296,381,299
1745305211.9802399,471,296,381,298
1745305212.1215513,471,296,380,298
1745305212.2635233,471,296,381,299
1745305212.4267857,472,296,381,299
1745305212.5498078,472,297,382,299
1745305212.6895041,471,297,382,299
1745305212.8119133,471,296,381,299
1745305212.9696453,470,297,380,299
1745305213.0961592,470,297,379,300
1745305213.2546186,470,297,379,300
1745305213.3765702,470,297,380,300
1745305213.517963,470,298,380,300
1745305213.6472561,470,297,380,299
1745305213.7976787,470,297,380,299
1745305213.954153,470,297,380,300
1745305214.0942094,470,297,380,299
1745305214.226498,471,297,380,300
1745305214.3766074,470,297,380,299
1745305214.5336022,471,296,380,299
1745305214.6867092,470,296,380,298
1745305214.8425946,471,296,380,299
1745305214.9986763,471,296,381,299
1745305215.1534085,471,297,381,299
1745305215.298361,471,297,381,299
