RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745248636.9548478,314,286,216,286
1745248637.1005619,314,284,215,284
1745248637.2213614,314,283,215,283
1745248637.3336782,313,282,214,282
1745248637.4654222,312,281,214,281
1745248637.5766416,312,280,214,280
1745248637.6996107,312,279,214,279
1745248637.8183568,312,280,214,281
1745248637.931296,312,279,214,279
1745248638.0699706,313,279,215,280
1745248638.1931043,314,278,215,278
1745248638.3203976,314,278,214,278
1745248638.4534929,314,277,214,277
1745248638.5746858,314,278,213,278
1745248638.7522867,313,278,212,278
1745248638.8961267,314,278,211,278
1745248639.0570333,314,278,211,278
1745248639.2019281,313,278,210,279
1745248639.3621533,313,279,209,279
1745248639.501409,314,279,207,280
1745248639.620944,315,277,208,278
1745248640.0137484,316,280,211,280
1745248640.1406825,316,279,211,279
1745248640.1837852,312,277,214,277
1745248640.2237446,311,275,214,275
1745248640.2954187,310,274,213,275
1745248640.3625758,310,275,213,275
1745248640.432785,308,274,211,274
1745248640.4806437,308,274,211,274
1745248640.525047,307,274,210,275
1745248640.587118,307,274,210,275
1745248640.6313763,307,274,210,275
1745248640.6866152,307,274,210,275
1745248640.7323222,306,274,209,275
1745248640.785898,306,274,210,275
1745248640.8477597,306,274,209,275
1745248640.8910403,306,274,209,275
1745248640.9369469,306,274,210,275
1745248640.9869623,306,274,210,275
1745248641.0552573,306,274,210,275
1745248641.116299,306,275,210,276
1745248641.1693404,306,275,210,276
1745248641.2402315,307,275,210,276
1745248641.2919214,307,275,210,276
1745248641.331977,306,276,210,277
1745248641.3904397,306,276,209,277
1745248641.4385026,306,275,209,276
1745248641.4791925,306,276,209,277
1745248641.5418246,305,278,208,279
1745248641.6088018,305,277,208,279
1745248641.6711922,304,278,207,279
1745248641.731907,303,277,206,278
1745248641.775982,302,276,205,278
1745248641.8373644,302,276,205,278
1745248641.8806193,302,277,205,279
1745248641.9300575,301,277,204,279
1745248641.9853358,300,276,204,279
1745248642.0412688,300,277,203,279
1745248642.1088128,300,277,203,279
1745248642.1663496,300,277,204,279
1745248642.2181454,300,277,204,279
1745248642.266295,301,277,204,279
1745248642.34234,300,277,204,279
1745248642.3971033,300,276,204,278
1745248642.469857,300,276,203,278
1745248642.5243056,300,276,203,278
1745248642.591396,299,275,203,278
1745248642.6587274,300,276,203,278
1745248642.709674,300,277,204,279
1745248642.7711353,301,278,205,280
1745248642.8309236,301,277,205,280
1745248642.8832064,300,276,204,278
1745248642.9294722,301,276,204,278
1745248642.9813168,300,275,204,277
1745248643.0332718,301,275,204,276
